# b'"cell id","p-S6","PD-L1","Mcl1","Vim","NF\xce\xbaBp65","p-Akt","E-Cad","Bim","p-Rb","FOXO1A","p-Stat3","SOX2","p-\xc9\xa3H2AX","Ki67","PCNA","group id"'
"0002-0088",1.309367399301415,0.2559671813671027,-0.7531492192937002,-1.9673885872488368,-0.9387073453974528,-0.4828882100816392,-0.8483477921051703,-0.7074143416587759,1.2594859403320768,0.3966822584112393,-0.22926123032376466,0.26928184867825955,-1.6460386192712528,2.22292047042483,1.7396650460658716,5
"0003-0109",-8.082251485687637,-3.355563026514427,-1.6047269675714038,-8.082251485687637,-8.082251485687637,-1.8226623734684049,-1.7034365830300109,-1.4357674687178603,-7.552800397798482,-8.082251485687637,-7.147335289690317,-2.9228973805453338,-3.058522292080223,-2.370977145273141,-3.228628740439766,5
"0004-0261",-6.300037429303114,-0.4274789295662318,-0.6490147068863887,0.7496276202600303,0.4721001014587518,-0.09457586237031546,0.0015726793028232322,-0.18884845632063652,1.3549178780166429,1.3307394840862496,1.5757172330467863,1.4190672200967729,-0.10763674539275314,2.105783531546688,2.103225152458677,5
"0005-0273",-8.082251485687637,-2.7324808375506846,-0.5524278216601495,-8.082251485687637,-8.082251485687637,-0.9447616240381036,-0.8319389499997749,-0.6183647677841266,-2.3136649001659393,-6.859653217238536,-5.68099822089689,-1.3066548277265593,-2.017399404450525,-0.02523706588193697,-0.31642289628078224,5
"0006-0282",1.4558291816612972,0.8415853191265263,-0.636046855631891,0.519705191435996,-0.2539788197358952,-0.34935675486084605,-0.17938764008538755,-0.42146350092314133,1.8728509045354542,1.4885085101534958,0.483002461086949,0.860513969922744,-0.6188517225399375,2.3127120071237677,2.2547925580230537,5
"0007-0328",1.4216027706204901,0.7953021897133485,-0.5048100973943717,-1.5713475202917522,-0.993146788952286,-0.26383448804136833,-0.10268247991646184,0.48607255692297,1.7234596082773503,1.612214701393233,-0.1885316619043147,0.6650812082089725,-0.5519721543505804,2.354493329617137,2.7806392369728528,5
"0008-0347",-0.6672521892407923,-0.6591058173527822,-0.6672521892407923,-0.043426731176769096,-0.9187863414155091,-0.630610925557396,-0.3742167310163822,-0.5223465569047274,1.7786447997548418,1.1727451844622863,0.6145898588279461,0.8459853581173604,-0.7338383586419059,2.292699005783698,2.454905260142773,5
"0009-0409",1.9436966346633913,1.1646743995813633,-0.40402323672335605,-0.2624693522504167,-1.167567267345298,-0.11232178689618344,-0.7143566932795551,-0.281405731538908,2.11519294894099,1.6042302038305696,0.6188373563199505,0.8465480511105472,-0.15919125437240034,3.185947112437539,2.8558397917046143,5
"0010-0420",2.0086927910721624,0.9499263487713758,-0.15183630803315307,1.439173495638343,-0.3512185350362813,0.08567695266858877,-0.20256719358549358,-0.191386805209234,2.211951768606614,2.0015225125412623,2.6300980791380955,1.963701742145787,0.626998388702706,3.4153154891636373,3.181436498366791,5
"0011-0498",-6.300037429303114,-1.5525859625261669,-1.253813261062434,0.5106156225792482,-0.5321245598574578,-0.748147356569941,-1.083511732928189,-0.7745462792854454,-3.311431277193563,-1.086617206210021,0.2861725196537517,0.18354501692153313,-2.0095388038791366,-0.4146890069771656,0.7311108607899843,5
