# b'"cell id","p-S6","PD-L1","Mcl1","Vim","NF\xce\xbaBp65","p-Akt","E-Cad","Bim","p-Rb","FOXO1A","p-Stat3","SOX2","p-\xc9\xa3H2AX","Ki67","PCNA","group id"'
"0008-0607",1.7691002919919274,1.5314884910528175,-1.1060024257192813,0.9068307584926263,0.8687715829319327,-1.0127169993261242,-0.03635106439615399,-0.1862112376506868,0.20386022127193826,2.1351851758121594,1.899159462971932,1.6332268250071795,0.15587047365425732,2.360312957354603,2.0954330853590193,6
"0009-0659",1.025539333241861,0.4200101090162178,-1.5856270086824589,-0.44662884157933647,-1.1144666858066516,-1.4570097635864236,-1.5764107067019495,-1.1878165291376614,-0.10642702117919889,1.2234932899957922,-0.14810768426249155,-0.11377497089899258,-1.8285732354060427,1.1754576854894143,-0.10555883730080318,6
"0010-0686",-0.30372555841793236,-0.4815830846398885,-1.8553163585257852,0.03679785591878826,-0.9890438536620465,-1.5086059288357179,-2.7413974847755167,-2.1134817593501323,-1.6833914687282645,-0.4643968650753365,0.19948350779757007,-0.4725949889818306,-1.7126436060281192,0.18642220631349637,-1.0866361633181425,6
"0011-0916",1.216709349258096,0.40061928808651004,-1.7951120693477254,0.42490901750668186,-0.6610918075910952,-1.3106891927894395,-1.3094488020656518,-1.1357733240112067,0.31181951523798546,0.9569092928097938,0.6469140058307712,0.08086623599971077,-2.676102867874528,1.618831465152713,1.4346116659802668,6
"0012-0920",1.3104773142347987,0.38350942662270704,-2.000945003930436,0.02880909234443685,-0.9350397772418386,-1.3012186180865832,-1.6720444079172463,-1.4043044598633667,0.11753518221737203,0.851163091313003,0.40747118134094684,0.010652678976736496,-2.882372410934316,1.6364895447828687,1.2246085520481405,6
"0013-0953",0.7542704863550309,-0.21373348079103316,-1.687604374171948,0.5452335953812284,-0.492293924532909,-1.3712364278184648,-1.9300835687991995,-1.4856734183570621,0.47498348845700455,0.5374428584440345,0.5266963564295484,0.05754888285415305,-2.4238880410529315,1.8264224708298435,1.3931871701719665,6
"0014-0956",1.718206312188025,1.0863027886071137,-1.2869763247571493,0.9792383568882439,0.32132986781545014,-0.850090495445027,-1.0509063141515025,-0.8263596944847063,1.486899666038724,2.0193110118181554,1.5346432503798528,0.9857535785271683,-1.0347640432774918,2.2029595589894733,1.7710573473158195,6
"0015-1003",1.5746358510980123,0.5491063205927791,-2.2604257504027148,0.7624227008170195,-0.6369684491544039,-1.0151769307237037,-2.7379433834141995,-2.040495286549122,0.7848608482137536,1.4494881248438674,0.3131254707674209,-0.2526061469413907,-3.734995528868563,2.086625123816148,1.1300193329190709,6
"0016-1004",0.6815902953723949,-0.6021461477354251,-2.1255576164344623,-0.1792471861392908,-1.9813363155400312,-1.4876467029637386,-2.8001853755754853,-2.132120911846073,-0.0270239854310379,0.5126313100204225,-1.7320010514695703,-1.15364672706112,-4.770245735133673,1.607450267361676,1.2340384133477613,6
"0017-1006",1.0944388562718483,-0.10184641749139622,-2.6696410557636936,-0.5346074866178174,-1.8195863083506412,-1.6110010078753136,-3.393860675736243,-3.014197867702083,-0.2902138548748443,0.2306122989163395,-0.6125896541173557,-0.9653318726818281,-4.957837953202093,1.6575479340906956,1.3449853845126345,6
