# b'"cell id","p-S6","PD-L1","Mcl1","Vim","NF\xce\xbaBp65","p-Akt","E-Cad","Bim","p-Rb","FOXO1A","p-Stat3","SOX2","p-\xc9\xa3H2AX","Ki67","PCNA","group id"'
"0001-0189",-8.599144722280913,-0.623653975076726,-1.1246045577216606,-0.16310800854982688,-0.5367642484860617,-1.0552905061771725,-1.5804502176208706,-0.7301176976275805,1.653029487622426,1.1998026447012915,0.5579157517379709,0.1130437077996902,-0.6653761632785775,2.3965289653560085,0.7812204942015448,7
"0002-0199",-0.7584370903591182,0.8839200620195662,-0.3520816113762155,1.128612424026116,0.24333870528108115,-0.3775421267445047,-0.23546104961296876,0.12595427341541132,-4.978624411930339,1.9075008044894464,2.412886406690884,1.5076864502696115,0.42815115164224515,3.0095521343009395,1.4255631516705325,7
"0003-0330",1.692988447089098,1.2721079750758566,-1.1372072477688748,0.5665645346781112,-0.17254473312027407,-1.0291190831848906,-1.1064652045656986,-0.818310225240185,1.044944767259297,1.4946462801491531,1.179521055695055,0.4835804362053757,-0.5570378149445787,1.721586926236668,0.6209027826613962,7
"0004-0350",0.9931126650003463,0.7761219491512961,-1.041010942488521,0.8019902916365318,-0.09083023012014912,-0.8496472729312714,-0.9463853771986139,-0.5788469651527635,1.639761905353609,1.7690269924399704,1.1785105234610178,0.6390669123376327,-0.3166758815236861,2.2556954663355917,1.2188952843894896,7
"0005-0454",0.9837972878241139,0.4290683140391689,-1.0091788497827867,0.30608945506004126,-0.036808198787516844,-1.196491392559163,-1.6603036521586132,-1.7542972947012156,-0.4121361758839086,1.544849290072488,1.3606635683427761,0.7584725016628866,-0.6565895394690235,1.9733549902414627,1.6359603733264212,7
"0006-0543",-8.599144722280913,-2.7940940942704167,-1.0463417155043153,0.691581467730483,-0.7220335077958602,-0.733043941084822,-0.5491498187626771,-0.2518285234586042,1.1243523942866105,0.9225912214160346,0.9523655492851688,0.2238941794147209,-0.5168932365932761,2.3421396674417334,1.9849855549599518,7
"0007-0583",0.16583780267508885,-0.6969087960342186,-1.3034639250886473,0.5993142445176769,-3.5643047394878398,-1.2174124682566934,-3.828324513786839,-1.7161556085940814,1.0041204558688577,0.11402125577520295,-0.7405616417332999,-1.5965366408027801,-2.554212870658838,1.7936089899907124,-1.1420976217238605,7
"0008-0603",-0.5258524202657515,-1.2617202972179369,-1.3040401060294702,0.14114849950251163,-6.277934165163702,-1.2767498828110728,-3.294740915744436,-1.6594800079030927,0.8379569689880579,-0.347642001026097,-0.8416296160406533,-1.9862948748399951,-2.7564499414505086,1.8857128412848443,-1.021268851418072,7
"0009-0833",-3.019799876050266,-1.0711458066613684,-1.6027331698933223,0.389696870002318,-1.6488463706834615,-1.308661544162696,-1.3825468423866356,-0.9111411397764915,-0.8401788191937598,-0.5069741463133717,0.10800083709217922,-1.0919075461273318,-2.8200043426768406,0.9275536590495026,-0.2482127481121168,7
"0010-0872",-0.824357025158962,-0.7889583135312037,-1.1669124252799534,0.015215287954628565,-5.818339845269792,-1.0557400282696987,-1.1455347637288442,-0.9014608929381387,0.3452835490934163,-0.04938482970566582,0.12788337195506294,-1.581971071885163,-3.30321520437562,2.1981801401793817,0.5471116385856991,7
"0011-0875",1.4419741130822086,0.7451950203010131,-1.4657115062549062,0.45361930898614666,-0.9256430353111105,-0.9173865010679085,-0.7661484844690749,-0.7564347714024802,0.30355192930419683,0.4363757251674212,0.9746894920127662,0.22875972266158584,-1.9874370763490594,2.2111550021748094,1.6110635985759707,7
"0012-0892",0.6780144128538552,-0.5788469651527635,-1.6351083586439987,-4.157635293898856,-8.599144722280913,-1.4258655603026265,-0.9651005663467354,-1.4738745029367166,-0.13281649594569167,-1.2705996929768917,-0.8179556917914184,-1.1749854078437973,-3.500114009422866,2.146487349244481,1.4124663403260342,7
"0013-0929",-2.0781908076866493,-2.546197098404998,-2.2966576233632425,-1.3191385369384907,-8.762840814951703,-2.000073181606248,0.2071210244176278,-0.2987991929480138,-1.0269324173639793,-2.3980515403050724,-3.6938995739110796,-2.5070523410057186,-7.376546453831812,0.8688106542604039,0.5186484692901416,7
"0014-0937",-2.124234484109679,-2.355921956492664,-2.2600119199576802,-3.3829054667684835,-8.599144722280913,-1.8235480643198354,0.33828080305982944,-0.32486905488561213,-1.0299950900941939,-2.418923120687505,-2.997612789453478,-2.2842931781003735,-4.956152150939453,1.2032371941896027,0.7865069419024646,7
